,Revenant
538,RT @NiceToR2CU: New #MalonesMovieMinutes @aliciamalone #Oscar nominations &amp; predictions! E.G. #TheRevenant https://t.co/GCrUpEmi4e https://…
539,RT @sagaftraFOUND: .@LeoDiCaprio &amp; Alejandro G. Iñárritu​ discuss filming @RevenantMovie​ at their #SAF Q&amp;A with @MovieMantz https://t.co/Y…
540,HONORED to moderate a Q&amp;A for #TheRevenant w/ #LeonardoDiCaprio &amp; Alejandro Inarritu for the @sagaftraFOUND!! https://t.co/zBG7YyFf00
541,RT @sagaftraFOUND: TONIGHT in NY: @LeoDiCaprio &amp; director Alejandro G. Iñárritu of @RevenantMovie join #SAF via simulcast Q&amp;A with moderato…
542,RT @sagaftraFOUND: TODAY in LA: #SAF honoree @LeoDiCaprio &amp; director Alejandro G. Iñárritu join us for a Conversations Q&amp;A on @RevenantMovi…
543,"RT @NiceToR2CU: New #IndiesAreMyJam #TheRevenant Piracy,Coppola interview,Tarantino v Disney, Indies &amp; more! https://t.co/B6s6XGxT7n https:…"
544,RT @NiceToR2CU: New #TheRevenant review from #MnM @aliciamalone @MovieMantz is A must watch like the film! https://t.co/8d4xd03wpp https://…
545,WHAT does #LeonardoDiCaprio have to do to WIN an OSCAR? WATCH us review #TheRevenant HERE: https://t.co/yfIHWti3eJ https://t.co/AYMQBaPF6b
546,"Blown away by #TheRevenant! Breathtaking, visceral, mesmerizing! A work of art! #LeonardoDiCaprio is sensational! https://t.co/Elr5mZjnp4"
547,"Movie B.S. with Bayer and Snider, Episode 291: ‘Joy,’ ‘The Revenant,’ ’45 Years,’ ‘Concussion,’ ‘Point Break,’… https://t.co/1napczC1Er"
548,RT @CriticsChoice: Will the critics recognize @LeoDiCaprio for #TheRevenant? Watch the #CriticsChoice Awards Sunday at 8E/5P on @aetv! http…
549,New Full Content Parental Review:  The Revenant (https://t.co/zvDyQhw6Mt) #movies #parenting #LeonardoDiCaprio https://t.co/plrVu2jKd7
550,"RT @CriticsChoice: #CriticsChoice: @ExMachinaMovie, @JurassicPark, @madmaxmovie, @MartianMovie, @RevenantMovie, and @TheWalkMovie https://t…"
551,"RT @CriticsChoice: #CriticsChoice: @BlackMassMovie, @CarolMovie, @danishgirlmov, @thehatefuleight, @madmaxmovie, and @RevenantMovie https:/…"
552,"RT @CriticsChoice: #CriticsChoice @CarolMovie, @thehatefuleight, @madmaxmovie, @MartianMovie, @RevenantMovie, @SicarioMovie https://t.co/70…"
553,RT @CriticsChoice: #CriticsChoice Best Editing: @thebigshort @madmaxmovie @MartianMovie @RevenantMovie @SpotlightMovie https://t.co/6NKIwPJ…
554,"Oscar nominations announced: ""The Revenant"" leads with 12 nods https://t.co/MAVhXleMKq @PIUpdate"
555,"CONGRATS! The @RevenantMovie director @aginarritu wins the @directorsguild Award! Oscar chances great! 
https://t.co/Tdkl6SBuN1
#TheRevenant"
556,"Congrats @LeoDiCaprio on your @SAGAwards win! Well deserved.
https://t.co/Tdkl6SBuN1
#LeonardoDiCaprio #TheRevenant #Canada #BlackTreeTV"
557,"OSCAR FILMING LOCATIONS
Visit ""The Revenant""
#MovieTripTV #TheRevenant #Oscars https://t.co/NHZjiRayrV"
558,"OSCAR FILMING LOCATIONS
Visit ""The Revenant""
#MovieTripTV #TheRevenant #Oscars https://t.co/YHRiAsQ5ER"
559,"VISITING CANADA!
Leonardo DiCaprio and Tom Hardy talk about shooting The Revenant in Alberta, Canada. Now we want... https://t.co/ZJgal2h8Yv"
560,"1 Million Views‼️
Thanks for the support and love,
Shawn
#TheRevenant #LeonardoDiCaprio #TomHardy #BlacktreeTV
https://t.co/Tdkl6SBuN1"
561,"1 Million Views‼️
Thanks for the support and love,
Shawn
#TheRevenant #LeonardoDiCaprio #TomHardy #Oscars... https://t.co/QjfaLqgiVM"
562,"The @RevenantMovie leads with 12 Oscar nominations. Congrats #LeonardoDiCaprio and #TomHardy!
#TheRevenant #Oscars
https://t.co/Tdkl6SBuN1"
563,The Revenant leads with 12 Oscar nominations including acting nods for both Leonardo DiCaprio and Tom Hardy!... https://t.co/HZ8i8E8Gg6
564,"It's a battle! @RevenantMovie vs. @MadMaxMovie. Both looking strong early. Which will get the most nominations?
#Oscars"
565,"Congrats @RevenantMovie on your @GoldenGlobes win for Best Director, Actor and Picture!
#GoldenGlobes #fox4kc
https://t.co/Tdkl6SBuN1"
566,"Congrats The Revenant on your Golden Globe win for Best Director, Actor and Picture!
#GoldenGlobes #TheRevenant... https://t.co/rNPzLq1UVH"
567,"@JasonGrill @LeoDiCaprio @RevenantMovie ""Beautiful to look at and super intense. @LeoDiCaprio for the WIN!""
#Oscars"
568,"Hey @LeoDiCaprio fans watch #LeonardoDiCaprio and #TomHardy talk @RevenantMovie!
#TheRevenant #Oscars
https://t.co/wrXiO6cOFn"
569,"Hey @TomHardyOnline fans watch #TomHardy and #LeonardoDiCaprio talk @RevenantMovie!
#TheRevenant #Oscars
https://t.co/wrXiO6cOFn"
570,Leonardo DiCaprio and Tom Hardy talk about how they had to 'man up' to shoot the BAFTA nominated The Revenant on... https://t.co/KIY54Bs98K
571,"THE 10 BEST INTERVIEWS OF 2015
1. @LeoDiCaprio and #TomHardy talk @RevenantMovie!
#Bestof2015 #BlacktreeTV
https://t.co/Nz2FuXC4q2"
572,"RT @MovieTripTV: Thanks @LeoDiCaprio for the great interview! Talked about shooting @RevenantMovie in Alberta, Canada. 
#TheRevenant https:…"
573,"Found a flight to Cali. Jumped on. Sometimes life gets crazy... Thanks @SouthwestAir! ✈️
#TheRevenant #Leo #LA"
574,"Just woke up in KC and realized I gotta interview @LeoDiCaprio this morning in LA! What's the fastest way to get to Cali? ✈️
#TheRevenant"
575,RT @Variety: #TheRevenant's cinematographer explains how he used only natural light https://t.co/cJmi4dqb77 https://t.co/dPbkJ7HFe8
576,"Leo!
#TheRevenant"
577,RT @take2review: @sedwardskc u asked me what movie I was most excited about?  It's official.  @RevenantMovie I can't wait.
578,"RT @AwardsDaily: Best Picture - The Big Short, Bridge of Spies, Brooklyn, Mad Max, The Martian, The Revenant, Room, Spotlight (only 8 nomin…"
579,Listen up! It's Joanna Langfield's (that's me!) Movie Minute Review of The Revenant. https://t.co/iBq3eXOx5J
580,ICYMI: The Revenant: a gorgeous survivalist romance with the heart of an ice pick.  https://t.co/5CvlhCsIs6
581,"The Revenant has the heart of an ice pick. A good looking ice pick, but an ice pick all the same.  https://t.co/5CvlhCsIs6"
582,Waited to see @RevenantMovie until the night of its dozen #OscarNoms. @LeoDiCaprio completely riveting. Stunning cinema.@20thcenturyfox
583,Is “The Revenant” haunting? Russ chimes in on this Golden Globe winner starring Leonardo DiCaprio https://t.co/juXJvwKUEM #kkfi @kkfi
584,"Best Spprtng Actor: Christian Bale, Tom Hardy (Revenant), Mark Ruffalo (Spotlight), Mark Rylance, Sylvester Stallone (CREED)"
585,"1/2: #TheRevenant: Brutal, beautiful, unsparing, bleak, unforgiving, awful, magnificent world by Inarritu &amp; Lubezki. May well be Leo's Oscar"
586,As much as I wanted George Miller to win for @MadMaxMovie I can see why Allejandro Innariti should win for @RevenantMovie
587,"RT @WIOD: Previews of #TheRevenant, #TheDanishGirl, #CarolMovie at 8:22am w/@RyanJayReviews LISTEN LIVE https://t.co/eJwhHvBZdA #movies"
588,New review of #TheRevenant #filmcritic #ootd #fashionpolice #bowtie #mermaid #nautical… https://t.co/NvPxKgp0IV
589,"Opening in wide release tomorrow, here's my review of The Revenant Movie starring Leonardo DiCaprio &amp; Tom Hardy,... https://t.co/qpD6HKuKhr"
590,"An LCJ Twitter Poll: Do ""The Revenant""'s Best Picture Oscar chances hurt because it's not up for Adapted Screenplay?"
591,"#WinterStormJonas impacts #BoxOffice: ""The Revenant"" back on top with another $16 million. ""The 5th Wave"" opens in 6th Place."
592,"Crowded Friday #BoxOffice sees Top 6 Movies separated by $1 million. ""The Revenant"" on top with $4.6M. ""Dirty Grandpa"" in 2nd."
593,"#BoxOffice: ""Ride Along 2"" on top with $34 million. ""The Revenant"" still strong with $29.5 million. ""13 Hours"" underwhelms, ""Norm"" bombs."
594,"""Carol"", ""Spotlight"", ""The Big Short"" got shut out. ""The Revenant"" is a surprising new frontrunner. #GoldenGlobes"
595,"Weekend #BoxOffice: ""The Revenant"" gives ""Star Wars"" a run for its money, but loses by $3.6 million. ""Big Short"" has best week-to-week hold."
596,"Leonardo DiCaprio &amp; Tom Hardy brave the elements in ""The Revenant"". My Review: https://t.co/SzejeO0tbB https://t.co/4wrtpDui5V"
597,"Leo took down ""Star Wars""! ""The Revenant"" wins Friday #BoxOffice with $14.4 million. ""Force"" weakens with just $10.8M."
598,"Miss today's ""BPR""? We talk ""The Revenant"", ""The Forest"", New At Home, @CriticsChoice: https://t.co/sX4frnGIrD @flymorningrush @Fly923"
599,"""The Revenant"", ""The Forest"" and your @CriticsChoice pick - all in 
10-minutes. Listen live: https://t.co/Wumi97Gtlh @flymorningrush"
600,RT @teenkidsnews: Will #LeonardoDiCaprio's new movie #Revenant get him an Academy Award or Razzie? Jackson lets us know https://t.co/gHi3mx…
601,"Tomorrow on @flymorningrush: ""The Revenant"", ""The Forest"", and I guess we'll have to talk about #StarWars. 7:10am https://t.co/Wumi97Gtlh"
602,"""The Revenant"" opens everywhere Friday. My Review of Leo in action: https://t.co/SzejeO0tbB https://t.co/UroSV2xg8w"
603,"Leonardo DiCaprio tackles the great outdoors as ""The Revenant"". My Review: https://t.co/EtGeQX9IhJ https://t.co/DWxIanFgko"
604,"After watching #TheForceAwakens Fri. it's back to Award Season contenders. Tonight: ""The Revenant"". https://t.co/fv9AfnSEm3"
605,"DiCaprio, Hardy and Inarritu better deliver: #TheRevenant is 156 minutes."
606,.@LeoDiCaprio will likely win for The Revenant but this only underscores how few good roles there are for men in Hollywood. #GoldenGlobes
607,You do realize that the only woman in The Revenant who has dialogue is dead and the other one prominently featured is raped onscreen.
608,"RT @RevenantBear: me coming for ur golden globes.

(also just woke up) https://t.co/PD6XC8J8eY"
609,RT @rogerstv: #TheRevenant is out TODAY. Watch our review before its too late! https://t.co/diF1ZE06AK #RogersTV #LeonardoDicaprio https://…
610,#TheRevenant video review on Cinema Seen​ for @rogerstv's YouTube channel. https://t.co/8KPw14bevN
611,#TheRevenant video review on Cinema Seen​ for @RogersTVDurham​. https://t.co/PnZUS9htGQ
612,Who wore it better? #TheRevenant #TrueGrit https://t.co/wFSOuatkci
613,"This holiday season. Two beards enter, one beard reigns supreme. #TheHatefulEight #TheRevenant http://t.co/m1ve1dxWKZ"
614,"Here is our review of ""The Revenant"" https://t.co/wtc3UgBmZG https://t.co/bpNZ4kFTcB"
615,"https://t.co/GooUkSF8wy Reviews of The Revenant, The Forest, Joy, The Walk, Carol, &amp; Sicario."
616,"Here is our review of ""The Revenant"" https://t.co/wtc3UgBmZG"
617,"I voted for The Revenant, also voted for The Hateful Eight ....  https://t.co/JkFVMtleLg"
618,RT @mikesbloggity: I love how the stars of The Revenant talk about surviving the film's brutal conditions. Here in Alberta we call it Monda…
619,"#TheRevenant is in theatres in KC today. GO SEE IT!! An incredible movie. Beautifully crafted and intense action, although a bit too long."
620,"2015 Best Actors is....

Leonardo DiCaprio for #TheRevenant!!

#KCFCC"
621,"What's up w/ Domhnall Gleeson this year? Dude's in everything. 

#ExMachina #Brooklyn #TheRevenant #TheForceWakens"
622,"Damn. That was intense. And long. But really good. 

#TheRevenant"
623,Watching #TheRevenant -- bear fight!! #BFCA #KCFCC
624,My interview! #TheRevenant Thanks @VanityFair! https://t.co/J7SubkwWox
625,"I am ""the interviewer"" of @LeoDiCaprio &amp; #TomHardy featured in @VanityFair here: https://t.co/Ap6akJyOUb #TheRevenant  Love it!"
626,"On the air, across America, in moments with @chadbensonshow @RadioAmericaNet.  https://t.co/1Rtj8q00zh  #TheRevenant #TheForest #movies"
627,"RT @chadbensonshow: We talk movies today with Scott Carty and me.. 
#TheRevenant #movies https://t.co/5iusjE2H3Q"
628,Join me today on @chadbensonshow for my interviews with the cast of #TheForest and #TheRevenant. It'll be a delightful walk in the woods.
629,See #TheRevenant interview the world is laughing about. https://t.co/wYGK7Aunpt #LeonardoDiCaprio #TomHardy #nomnom https://t.co/SgmY1n5EMI
630,The Tom Hardy #TheRevenant interview that's making his fans hungry for more: https://t.co/jlmPFZxsGN https://t.co/0E9hZpoGAb
631,RT @kgpr: @ScottCarty introduces @getyourhotcakes Wilderness Collection to Leonardo DiCaprio + Tom Hardy + talks #TheRevenant https://t.co/…
632,What happens when I bring @LeoDiCaprio &amp; #TomHardy snacks from @getyourhotcakes for our #TheRevenant interviews? https://t.co/jlmPFZfRid
633,@suzi123 @RevenantMovie @getyourhotcakes You're on the list!
634,A #CartyParty of laughs &amp; lean-in moments w/ #LeonardoDiCaprio &amp; #TomHardy of @RevenantMovie. Plus @getyourhotcakes! https://t.co/x0P63tyt7s
635,"Interviewing #LeonardoDiCaprio, #TomHardy and @PoulterWill of #TheRevenant today. Please pinch me with your RT's."
636,"And for my #fanistons, I'm interviewing @PoulterWill for #TheRevenant. Of course, he also made a ""big"" splash with Jen in #WeAreTheMillers."
637,"Great to be in #LA, to interview Leonardo DiCaprio, Tom Hardy and more stars from #TheRevenant. #WorldPremiere  tonight in Hollywood."
638,Looks amazing! @RevenantMovie @LeoDiCaprio #WhenAllIsLostYouFight Check out the trailer from @20thcenturyfox: https://t.co/7EB2UI5mfF
639,Now we know why #LeonardoDiCaprio has been packing those pounds. The new trailer for #TheRevenant looks incredible. https://t.co/sS1EtRS9ur
640,"RT @Mike281mike: @JoanieLum @billzwecker big short,Brooklyn,spotlight, very good.winner Revenant"
641,"RT @Variety: .@RevenantMovie, @MadMaxMovie and @MartianMovie top the Art Directors Guild Awards. https://t.co/947T3h3ThR https://t.co/SzgnC…"
642,"RT @cnni: ""The Revenant"" led all films with 12 #OscarNoms, just announced: https://t.co/pe5AeaJQaO https://t.co/AqND9x3jZU"
643,RT @goldenglobes: Best Motion Picture - Drama - The Revenant (@RevenantMovie)  - #GoldenGlobes
644,"RT @CNNent: Best actor in a motion picture, drama is @LeoDiCaprio for ""The Revenant"" #GoldenGlobes"
645,@patrickstoner I hope not. I want Room or Revenant 😑
646,RT @goldenglobes: Best Director - Alejandro G. Iñárritu - The Revenant (@RevenantMovie) - #GoldenGlobes
647,"RT @THR: Kate Winslet accepts #GoldenGlobes award from Jonah Hill, dressed as the 'Revenant' bear https://t.co/3IwC6rZbFd https://t.co/Gisg…"
648,RT @JohnnieUcom: Bear attacks  #TheRevenant my review tonight @decodrive @ShireenSandoval @lmartinezon7 https://t.co/BTNX4vbiFd
649,RT @bigge3021: @ShireenSandoval Can't wait to finally see #TheRevenant especially that bear scene. Too bad I'll have to wait til Jan. to se…
650,RT @EW: Leonardo DiCaprio isn't afraid to die anymore in new #TheRevenant TV spot: https://t.co/D7ukYnqBgi https://t.co/b4LCKdUySK
651,"'Star Wars,' 'The Revenant' Win Big at Visual Effects Society Awards, 'Mad Max' Left ... - https://t.co/DXacldKCaU https://t.co/M3ddSZelsc"
652,"Art Directors Guild Award Winners Include 'Revenant,' 'Mad Max,' and 'The Martian' - https://t.co/BwouLdUVjW https://t.co/j7WphXnCc5"
653,"Box Office Report: ""Kung Fu Panda 3"" outruns all new releases while ""Revenant"" and ... - https://t.co/A9ZWZFsTSn https://t.co/dhzMuR9fmt"
654,"Box Office Report: ""The Revenant"" appropriately survives the snow and lands on top of ... - https://t.co/KPaBhxQCpM https://t.co/j07neEVLMZ"
655,"RT @AOLBUILD: ""@LeoDiCaprio ate so much dirt in @RevenantMovie... he deserves the Oscar for that alone."" - @graedrake. #ThisIsAOL https://t…"
656,"If you feel blah about awards season, you haven't seen The Revenant yet."
657,RT @boxofficemojo: Weekend #BoxOffice Estimates: 'Kung Fu Panda 3' $41M; 'Revenant' $12.4m; '#StarWars' $10.7m https://t.co/fMn8IVBMlM http…
658,RT @boxofficemojo: Friday #BoxOffice Estimates: Kung Fu Panda 3 $10.5M; 'Finest Hours' $3.3m; 'Revenant' $3.2m https://t.co/3LpuyksWUZ http…
659,RT @IGN: The Big Short upsets The Revenant &amp; Spotlight's shoo-in Oscar hopes with Producers Guild win https://t.co/KmsMMu5slE https://t.co/…
660,RT @boxofficemojo: Weekend #BoxOffice Estimates: '#Revenant' $16M; '#StarWars' $14.2m; 'Ride Along 2' $12.9m https://t.co/tj0pF8CYtv https:…
661,RT @boxofficemojo: Friday #BoxOffice Estimates: '#Revenant' $4.5M; 'Dirty Grandpa' $4.2m; 'The Boy' $3.9m https://t.co/F2DWJRQPmK https://t…
662,RT @boxofficemojo: Friday #BoxOffice Estimates:  'Ride Along 2' $12m; '#Revenant' $9.3M; '#StarWars' $6.3m https://t.co/NVyCcNSepz https://…
663,RT @boxofficemojo: Weekend #BoxOffice Estimates: '#StarWars' $41.6m; 'The Revenant' $38M; 'Daddy's Home' $15m https://t.co/9F1ORQ4Yr8 https…
664,My review of #TheRevenant on @KQRadio w #TomBarnard 12 minutes in Brought to you by @BBlaw https://t.co/0kSa76VKQT https://t.co/ojuvRfMyru
665,Talking #TheRevenant with #TomBarnard on @KQRadio LISTEN LIVE: https://t.co/iVzAcKdPMG Brought to you by @BBlaw
666,@BBlaw So a film like Revenant is longer likely because no one was going to limit director after winning Oscar for Birdman last year
667,@angefilm Tom wouldn't do some of the stunts in The Revenant unless Iñárritu let him choke him out... see T-shirt https://t.co/mvb75cbFD9
668,"Some say Leo deserved a Boy Scout outdoor merit badge more than an award for #TheRevenant. Feh, says HFPA. #GoldenGlobes"
669,"A three-fer on this week's #WOR710AM Movie Minute: The Revenant, Concussion, The Hateful 8.  https://t.co/OPXUsY8Dds https://t.co/ZAKFq7QbK5"
670,"Moderated a DiCaprio/Iñárritu Q&amp;A Tuesday for #TheRevenant, a film w/the best fur coat since “McCabe &amp; Mrs. Miller."" https://t.co/8qEw6vylk9"
671,Epic interview with 'The Revenant' production designer Jack Fisk.https://t.co/D1Wn3gsn1w
672,"RT @alxhuls: LEO: I almost died shooting Revenant.
JARED: Playing The Joker was like giving birth out of my prick hole.
*pause* https://t.c…"
673,"RT @vulture: #TheRevenant leads this year's #Oscar nominations with 12, followed by #MadMax with 10: https://t.co/X3CtryRZxv https://t.co/u…"
674,"RT @Glenn__Kenny: Thanks to a ""Revenant"" win, several refrigerators in Los Angeles will be spared their lives"
675,"RT @maddiewhittle: Movie Takes

Carol 😍
Brooklyn ☺️
Spotlight 😊
Joy 😒😏😀
Big Short 😎
Revenant 😬😴
Hateful Eight 😆😳😷"
676,"@BilgeEbiri The Revenant, Brooklyn, The Force Awakens, Ex Machina. I mean come on."
677,"@GoresEatsFilm @FinnJ (That said, he IS really good in The Revenant.)"
678,RT @TomiLaffly: Loved #TheRevenant; think it's a lot more profound/insightful than it's getting credit for. My @Film_Journal review: https:…
679,@SamuelAAdams @flipyourface Wait... Wells dissed The Revenant? I thought he was a paid-in-full member of the AGI-or-GTFO Club.
680,@RussTop3Ever (Because that is not really my issue with The Revenant.)
681,"@EddieMarsAttack @Glenn__Kenny @jlichman I didn't like Revenant, but let it not be said a lot of talented people didn't give it their all."
682,Sort of funny because getting raped by a bear is like the one thing that DOESN'T happen to Leo in The Revenant.  https://t.co/6n1xlWl4P6
683,"Black Faces Don't Matter? Plus the rise of 'The Revenant,' and other things today's odd nods taught us https://t.co/8uRhTeKDhy #OscarNoms"
684,How the West Won: It's civilization vs nature in 'The Revenant.' Bet on nature. https://t.co/W62WjYwtUY #Revenant
685,"Meanwhile: ""Sean Penn Thinks ‘The Revenant’ Is a Masterpiece Reminiscent of ‘Apocalypse Now’"""
686,"RT @RevenantBear: ""isn't the worst"" ... translation ""the best""  https://t.co/cr0nu4le1a"
687,RT @guardianfilm: Man behind Leonardo DiCaprio's Revenant bear attack revealed https://t.co/haFogaQ0ov
688,"RT @ScottMendelson: Box Office: Leonardo DiCaprio's 'The Revenant' Can't Top 'Star Wars,' Settles For Huge $38M Weekend @Forbes https://t.c…"
689,RT @aoscott: Movie pussies will get schlonged by the Revenant. I'm from New York so there are no genital references in this tweet.
690,RT @MarkHarrisNYC: Can't tell from early tweets if The Revenant is amazing or just internet-amazing.
691,RT @MarkHarrisNYC: Remember the Globes year that Inarritu won Best Director for The Revenant?
692,"4 noms for ""Revenant"" at #Oscars so far."
693,"""Carol"" leads the way at #goldenglobes with 5 nominations, followed by ""The Big Short,"" ""The Revenant"" and ""Steve Jobs"" with 4 each."
694,The Revenant grabs surprise win as Best Drama and might change the Oscar chances of Spotlight if the Globes meant a damn thing. They don't.
695,"Morgan Freeman gives Director Globe to Alejandro G. Inarritu  for The Revenant. George Miller and Ridley Scott, I personally salute you."
696,"RT @markromanek: Can we talk about the year of the great Domhnall Gleeson? Ex Machina, Brooklyn, The Revenant, and The Force Awakens. Amazi…"
697,Prequel to The Revenant? https://t.co/kzb4ofXBk1
698,"@SRBraybrooke @SlateCultFest @RevenantMovie @KonMari_Method thank you! I am never crazy about hosting the show, glad it sounded good to you."
699,"RT @SlateCultFest: New episode! On @RevenantMovie, @KonMari_Method's Spark Joy, and profanity. https://t.co/DqTWHNVzwk"
700,"Watching Leo di Caprio struggle to recover from a bear mauling in The Revenant, I was reminded of me trying to file all my work before Xmas."
701,I'm rating The Revenant a slight favorite to win Best Picture.
702,Slightly mystified by colleagues such as @LouLumenick who dismissed The Revenant's Oscar chances. Obviously it could well go all the way.
703,The Revenant beat Star Wars last night with $14 million. A strong box office could aid its Oscar prospects.
704,@robmtaub I think the Revenant.
705,"Just found out The Revenant is 156 minutes... so, pretty much guaranteed to win the Oscar."
706,"RT @IWCriticwire: Dallas critics go for Spotlight, and The Revenant finally picks up some awards love: https://t.co/1vcOGxxxfn https://t.co…"
707,RT @IWCriticwire: The Revenant stuns and polarizes: First reactions to Leonardo DiCaprio’s wilderness odyssey: https://t.co/yGdJ99ZkxH http…
