,Spotlight
0,Gina Rodriguez Launches Social-Media Movement to Spotlight Latino Performers https://t.co/VMWY22BED9
1,Gina Rodriguez Launches Social-Media Movement to Spotlight Latino Performers https://t.co/SCKQlrwwX0 https://t.co/AGHDbTcdsb
2,"Why isn't Carol the film to beat? More noms. @VanityFair headine: ""The Gotham Awards Just Confirmed Spotlight as the Oscar Front-Runner"""
3,2016 SAG Awards Winners: 'Spotlight' and Diversity Come Out on Top https://t.co/1cA4arR9rf https://t.co/sxyaFnGSEz
4,The Revenant grabs surprise win as Best Drama and might change the Oscar chances of Spotlight if the Globes meant a damn thing. They don't.
5,"Should win Golden Globes: Spotlight, Big Short, Schumer, Saoirse Ronan, Damon,Fassbender, Paul Dano, Vikander, George Miller. Which won't?"
6,RT @ChazEbert: Read @sheilakathleen 's 3 1/2 star review of #Spotlight and 12 other new reviews: https://t.co/4OIGxR5Kvg https://t.co/5ZcaP…
7,RT @ChazEbert: #MeridithBrody gives good defense of conventional movies #Spotlight to #ManwhoKnewInfinity: http://t.co/6C1BoUdSQH http://t.…
8,RT @ChazEbert: Yes we can handle the truth 2 films about reporters uncovering scandals #Spotlight &amp; #Truth: http://t.co/7oInXPn3sA http://t…
9,RT @ChazEbert: @indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/rPUnR4BE9r http:/…
10,@indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/FmdYNcUwbH http://t.co/fzgiHEOTOC
11,"BEST PICTURE, Winner: ""Spotlight."""
12,"BEST SCREENPLAY, Winner: Josh Singer and Tom McCarthy, ""Spotlight."""
13,"RT @etalkCTV: 'Spotlight,' 'The Big Short,' 'Mad Max' bring home #CriticsChoice Awards - https://t.co/fNG8BRA8wU #etalk https://t.co/Tai3Z4…"
14,RT @sharonstone: What a great night presenting @CriticsChoice #BestPicture to @SpotlightMovie. Well Done.  #SharonStone https://t.co/vdb9Px…
15,"If our sources are to be trusted, @SpotlightMovie just took home Best Acting Ensemble! #CriticsChoice"
16,"#CriticsChoice Best Movie Score: @CarolMovie, @thehatefuleight, @RevenantMovie, @SicarioMovie, and @SpotlightMovie https://t.co/cMY4KxxB8T"
17,#CriticsChoice Best Editing: @thebigshort @madmaxmovie @MartianMovie @RevenantMovie @SpotlightMovie https://t.co/6NKIwPJW0J
18,Fest starts today! Here's the final part of the @TwitchFilm @sundancefest preview: Premieres/Spotlight/More https://t.co/W4ovkQRCJ6
19,6. Spotlight (Tom McCarthy) https://t.co/yAvNE00UJ8 #Top50of2015 https://t.co/FawbKLhlgq
20,"MarkRuffalo on Cardinal Law: ""He should be a prison cell and not in a palace at the Vatican."" #Spotlight gets real backstage #SAGawards"
21,#Spotlight #Brooklyn shine in limited opening. https://t.co/rZpl76Rp5F via @usatoday
22,RT @MarkRuffalo: This is excellent. Preservation of Integrity in Journalism: The Case for #SpotlightMovie: https://t.co/WYPOC2ovcL @awardsd…
23,RT @SAGawards: .@SpotlightMovie receives the SAG Award for Outstanding Cast in a Motion Picture! #sagawards🎭 https://t.co/y0wHSWyznD
24,@SatyaLoquacious Different tastes. Sicario is #7! The Big Short was awesome. Spotlight is great. Room and Carol are overrated IMHO.
25,"@iamPitman @RussTop3Ever I am a big fan of Spotlight, especially the performances. But it didn't make the cut. I felt like it lacked style."
26,"Mark Ruffalo in Spotlight is still #1 supporting performance. Also enjoyed: Vikander as Ava, Kristen Stewart in Clouds, Julie Walters in BK."
27,My review of Spotlight (dir. Tom McCarthy) is up here: https://t.co/HCmb4qf6ol
28,My review of Spotlight (dir. Tom McCarthy) is up here: http://t.co/ru8r2lXGiQ #Venezia72
29,"Tom McCarthy's Spotlight, about the Boston Globe's child abuse investigation, has a few journo clichés but it's watchable #Venezia72"
30,"The Guardian film show investigates Spotlight, Youth &amp; Dirty Grandpa. Pulitzer to the usual address, natch https://t.co/kQsf2KxX02"
31,RT @SamuelAAdams: A thought on Best Picture: Carol is too good for the Academy. Spotlight is just exactly the right amount of good.
32,RT @SamuelAAdams: Goodbye to Language last year; Spotlight this year. Guess the National of Society of Film Critics has its “relevance” bac…
33,"RT @JPFoster94: Liev Schreiber has the trickiest role AND gives the best performance in ""Spotlight,"" but I doubt he'll be nominated for any…"
34,Here's my review of this week's best new film: investigative journalism thriller Spotlight. https://t.co/QqQHsNhFeJ https://t.co/daF71FY5MV
35,"@NickyRR Well, one of those three can...! But if it's any of them (or Spotlight), reckon people will be chuffed."
36,"@E_Film_Blog Actually, Spotlight's a really good shout. It's around, it's great, it's accessible, and almost nobody's seen it yet."
37,"@fitbafan On the up-side, Spotlight is 😘👌"
38,Thomas McCarthy shoos away the spirit of The Cobbler with masterful hack procedural Spotlight. My review: http://t.co/QqQHsNhFeJ #Venezia72
39,"Spotlight, x2, or They Fought the Law: Sorry, haters. Methodical, regretful, decidedly secular in its approach. Can live w/ the medium shots"
40,@jarrettem But they could've nominated him for Spotlight instead.
41,"2015's institution-shaming docudramas: Spotlight &gt; The Big Short &gt; Concussion &gt; Truth &gt; Trumbo (missed Freeheld, Stonewall, Suffragette)"
42,"@tylermager @lightscameraaus 45 Years, Carol, Spotlight..."
43,"@jasondashbailey This, but Ruffalo's nod for Infinitely Polar Bear over Spotlight."
44,"I liked Spotlight, but I would've *loved* it if the same thing happened to Rachel McAdams twenty minutes in as happened in Southpaw."
45,"I agree with @FITWR - give me Spotlight's deliberately unfussy direction over Truth's ""the world stopped to watch 60 Minutes"" grandstanding."
46,"Truth: setting aside Spotlight, a howler from the get-go. Assemble-the-team montages! Noble speechifying! Even felt a bit bad for Blanchett."
47,"Boss is taking my Spotlight recommendation under consideration, and now I'm fearing this journo-dork may lead her astray..."
48,People keep underselling how sexy Spotlight is.
49,"@mattzollerseitz This feels like the perfect prelude to Oscar season backlash...
""You hate Spotlight, just admit it.""
""It's FINE!!!!"""
50,Ranking all 26 films I saw at this year's Sundance Film Festival. (Hint: My #1 was part of the Spotlight section.) http://t.co/V3yaghY5SX
51,.@SpotlightMovie is indeed one of the year's best. Ensemble acting at its finest! Review: https://t.co/fqLwWqp4iq https://t.co/fmQJbPjqcE
52,RT @tohmovies: How Open Road CEO Tom Ortenberg Shepherded 'Spotlight' to Oscar Frontrunner https://t.co/l5CF4fI9A9 https://t.co/DoRrhqUpqw
53,"RT @IWCriticwire: Dallas critics go for Spotlight, and The Revenant finally picks up some awards love: https://t.co/1vcOGxxxfn https://t.co…"
54,RT @IWCriticwire: Did a Boston critics group “snub” hometown favorite Spotlight? https://t.co/6rEFXSn2yi https://t.co/nIMg0WWIzC
55,"@bhkoe @MarkRuffalo @SpotlightMovie I get it. I'm not opposed to this well-acted ensemble piece, I just find it rather conventional."
56,@bhkoe @MarkRuffalo @SpotlightMovie I just wish he'd stop running around so much.
57,"Nothing for Spotlight, then."
58,Liev Schreiber should have got it for Spotlight.
59,Doubt &gt; Spotlight.
60,2016 Sundance Film Fest Predictions: Jeremy Saulnier's Green Room - Blue Ruin was in the Spotlight section @A24 https://t.co/pWdexdmzxW
61,"Congrats! @evgeny_director @RoomTheMovie: Abrahamson's ""Room"" Steals ""Spotlight"" with People's Choice Award http://t.co/idTmlsUZ5Q"
62,"Sundance ’15: Bahrani, Slaboshpytskiy, Szifrón &amp; Hansen-Løve Fill Spotlight http://t.co/269jnLly72"
63,Sundance Prediction #77. This one is a longshot for a Spotlight section bid http://t.co/1j1pcJ5R6H
64,"@CasparSalmon Spotlight's the better film, and The Big Short is the one that's winning the Best Picture Oscar."
65,"@shaldore @kristapley I think Mad Max is the best of the nominees, yes. But Spotlight would have been a fine winner."
66,"SCREENWRITER OF THE YEAR: Tom McCarthy and Josh Singer, ""Spotlight"" #LondonCritics"
67,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
68,"BEST DIRECTOR
McKay, The Big Short
Miller, Mad Max: Fury Road
Scott, The Martian
Inarritu, The Revenant
McCarthy, Spotlight"
69,"BEST ORIGINAL SCREENPLAY
Bridge of Spies
Ex Machina
Inside Out
Sicario
Spotlight"
70,"BEST FILM EDITING
The Big Short
Mad Max: Fury Road
The Martian
Sicario
Spotlight"
71,"BEST PICTURE (Drama)
Will win: Spotlight
Should win: Carol 
Should tie with Carol because oh my god why choose between them: 45 Years"
72,"BEST SCREENPLAY
Will win: The Big Short
Should win: Spotlight (but what a dull field)
Should *really* win: Ex Machina"
73,"@eggsbened Yes. Future dissertations will be written on ""What Happened Between 'The Cobbler' and 'Spotlight'""."
74,"@joereid @r0bwatson @kevinpokeeffe Yes, I keep thinking Spotlight is in a Departed kind of position."
75,@DanGreen1986 I guess. The exec committee probably had its hands full saving other things. Would've made a nice counterpoint to Spotlight.
76,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
77,"It's been a rough week for Michael Keaton. No SAG nomination, no Globe nomination, and now he can't even win the Spotlight Award."
78,"RT @MarkHarrisNYC: My final entry for the 2015 Slate Movie Club--Mad Max, Spotlight, great screenwriting, and the worst last line ever. htt…"
79,RT @TheWrap: Boston Globe Opens ‘Spotlight’ Journalism Fellowship https://t.co/EhGEZ49zD4 https://t.co/N5QsxfnWKm
80,Movies about journalism rarely dig into the process of reporting. Tom McCarthy's Spotlight is a thrilling exception: https://t.co/JJ0OuUAGmV
81,"@iaincredible If you want to see something good in theaters this weekend, check out Spotlight. Or (if you like gothic horror) Crimson Peak."
82,@andy_birdy Highly relevant. I was just now writing about his performance in Spotlight. He radiates such basic decency! &amp; is fluffy to boot!
83,"First ""Spotlight,"" now Sean Penn. A supposedly endangered profession, journalism is certainly making its presence felt."
84,"Inside Hollywood Part II: How they got the journalists in the excellent ""Spotlight"" to dress like real journalists. https://t.co/Sj9txeztkt"
85,"""Spotlight"" is top-drawer entertainment:relevant, dramatic, blessedly low-key. My review:
https://t.co/Do0O6QUwOn"
86,RT @MikeRezendes: Your chance to be a reporter for @GlobeSpotlight. https://t.co/KLK7JtL2sM
87,Go see Spotlight this weekend!
88,RT @EW: Our @ChrisNashawaty loved @SpotlightMovie. Here's why: https://t.co/8RIY9ojRwX https://t.co/a4F5aNF1QN
89,The winners are Josh Singer and Tom McCarthy for Spotlight
90,Spotlight #londoncritics
91,Michael Keaton - Spotlight; Mark Rylance - Bridge of Spies
92,Emma Donoghue - Room; Nick Hornby - Brooklyn; Phyllis Nagy - Carol; Josh Singer &amp; Tom McCarthy - Spotlight; Aaron Sorkin - Steve Jobs
93,"Actor of the Year, sponsored by Spotlight, is Joaquin Phoenix for The Master"
94,"Actress of the Year, sponsored by Spotlight, is Emanuelle Riva for Amour"
95,"Spotlight is excellent; has a sweaty, urgent S6 of The Wire quality (it's directed by Scott Templeton!) Nice full crowd @BAMcinematek."
96,RT @CultureKinetica: #BCAFilmFest Spotlight: @bfmiff founder @menelikshabazz talks Black British Cinema w/ @PPlasticHelmet's @_Ash_Clark - …
97,RT @MovieMezzanine: This week's Spotlight on @Fandor has @_Ash_Clark looking at AN OVERSIMPLIFICATION OF HER BEAUTY and MEMPHIS: http://t.c…
98,My second 'Spotlight on @Fandor' column @MovieMezzanine is on Marlon Riggs and his classic essay film TONGUES UNTIED: http://t.co/V7LkGazuU1
99,"In the first of a new column @MovieMezzanine entitled 'Spotlight on @Fandor', I wrote about Marc Singer's DARK DAYS: http://t.co/V5a2TsgODk"
100,Spotlights on Canada on Film @1stweekendclub @REELCANADA @reelwestmag  https://t.co/RRF8Zx3cZm
101,"Mad Max left out of Best Film, Best Director #BAFTA 2016 nominations. Spotlight director Tom McCarthy doesn't make the Best Director cut."
102,"2016 #BAFTA nominees for Best Film:
The Big Short
Bridge of Spies
Carol
The Revenant
Spotlight"
103,My top ten films seen in 2015 include 1 Embrace Of The Serpent 2 Palio 3 Spotlight 4 Tangerine 5 Macbeth...:https://t.co/rK01l6O1ub
104,From avoiding lawsuits to casting pre-Birdman Michael Keaton. I spoke to the Spotlight team: https://t.co/5ATkdHQGl3 https://t.co/IfvtlWtf4u
105,"We spoke to writer-director Tom McCarthy about the excellent #Spotlight, which world-premiered in Venice yesterday: http://t.co/OvY2FGlLor"
106,Here's the original 2002 @globespotlight story and the follow-ups that inspired Tom McCarthy's excellent #Spotlight: http://t.co/xm8D7OQTKx
107,Just seen Boston Globe-Catholic church abuse drama #Spotlight in #Venice. Inspiring and handled with a proper seriousness. Brilliantly acted
108,Pertinent to see the first screening of Catholic Church abuse drama #Spotlight in Italy. The irony was not lost on the audience. #Venezia72
109,"Love a good investigative journalism film. Spotlight, starring Michael Keaton and Mark Ruffalo, looks just that: https://t.co/45M4b2uKa8"
110,"EXCLUSIVE: First look of Michael Keaton, Mark Ruffalo, Rachel McAdams as #BostonGlobe team in Spotlight: http://t.co/G49zXjYIqD @BostonGlobe"
111,"RT @sepinwall: Love the restraint of Spotlight. McCarthy knows the material's power, lets the characters be affected by it, but with minima…"
112,Spotlight. Wow. Wow. Wow.
113,"RT @intlifemag: ""Journalists in need of a reminder as to why they chose their career will love #Spotlight"" https://t.co/Z7Lwa7HaRL https://…"
114,"Saw Spotlight. Utterly loved it. Quiet, intelligent, engrossing with the courage not to go for the sentimental effect. so no oscars then!"
115,"RT @NewStatesman: Films like Spotlight imply absolution for their viewers – but come up short, by @Ryan_Man2 https://t.co/uv0bRQjgJ7 https:…"
116,RT @srcorrespondent: ‘Spotlight’ is One of the Year’s Best https://t.co/6bmi9DsJDN #Movies @leonardmaltin reports https://t.co/Oy0br49kMx
117,RT @srcorrespondent: ‘Spotlight’ is One of the Year’s Best https://t.co/6bmi9DsJDN #Movies @leonardmaltin reports https://t.co/ECkMidxKah
118,"'Spotlight' is one of the best films of the year, terrific and a must-see. https://t.co/FPiAU1AsYS"
119,"RT @wittertainment: Mark's top 5:

1. Room
2. Rams (NEW)
3. The Assassin
4. Trumbo (NEW)
5. Spotlight"
120,"RT @CurzonVictoria: .@KermodeMovie film of the week ★★★★ &gt; https://t.co/IIVsHKI8py 
See #Spotlight now on our screen https://t.co/nD4Ue1dgvP"
121,RT @ObsNewReview: Spotlight reviewed by @KermodeMovie – exposing the sins of the fathers ★★★★ https://t.co/3FGTFDt94U https://t.co/z7FlTlP6…
122,"RT @wittertainment: Your podcast: Youth, Capture the Flag, Spotlight, Mark Ruffalo &amp; at 66 minutes in Mark's review of Dirty Grandpa. https…"
123,"RT @wittertainment: This week @MarkRuffalo talks @SpotlightMovie with @simonmayo, @KermodeMovie reviews it plus @DirtyGrandpa, @13hours &amp; m…"
124,RT @SamuelAAdams: A thought on Best Picture: Carol is too good for the Academy. Spotlight is just exactly the right amount of good.
125,RT @SamuelAAdams: Goodbye to Language last year; Spotlight this year. Guess the National of Society of Film Critics has its “relevance” bac…
126,"RT @JPFoster94: Liev Schreiber has the trickiest role AND gives the best performance in ""Spotlight,"" but I doubt he'll be nominated for any…"
127,"RT @usatodaylife: Your 2016 Best Picture nominees:
The Martian
The Revenant
Room
Spotlight
The Big Short
Bridge of Spies
Brooklyn
Mad Max
#…"
128,"Spotlight's real MVP (and sole provider of comic relief): Gene Amoroso as Steve ""Omertà"" Kurkjian. https://t.co/MV0AtoA9yt"
129,@tomsmovies I'd have used 'purlease' to differentiate sentiments. I'm in the Spotlight camp.
130,Best Picture nods ranked: Spotlight &gt; Room &gt; Brooklyn &gt; Bridge of Spies &gt; Fury Road &gt; The Big Short &gt; The Revenant &gt; The Martian. #OscarNoms
131,"Best Picture predictions: Big Short, Bridge of Spies, Brooklyn, Carol, Fury Road, Inside Out, The Martian, The Revenant, Spotlight."
132,@GregWetherall Also &gt; Spotlight.
133,Fighting the urge to do *jazz hands* every time I mention the film Spotlight.
134,Rewatching Spotlight.
135,"@DirRobSavage Saul, Club, Carol, Dinosaur, Assassin, Syrian, Spotlight, Room and Lobster."
136,Wonder if the old guard will go for it? Of course they ruddy will. All it missed was a spinning front page. #Spotlight
137,"Just like its fervent journos, Spotlight is clinical, hard-nosed and favours diligence above melodrama at all times. A class act."
138,FYC joints dropping like dominoes. Tonight it's the turn of Spotlight.
139,RT @LWLies: How do you tell the truth without fear or favour? @sopharsogood investigates: https://t.co/MmSReU99cX #Spotlight https://t.co/y…
140,"Hey Venice peeps, is Spotlight better than The Cobbler?"
141,RT @ChazEbert: Read @sheilakathleen 's 3 1/2 star review of #Spotlight and 12 other new reviews: https://t.co/4OIGxR5Kvg https://t.co/5ZcaP…
142,RT @ChazEbert: #MeridithBrody gives good defense of conventional movies #Spotlight to #ManwhoKnewInfinity: http://t.co/6C1BoUdSQH http://t.…
143,RT @ChazEbert: Yes we can handle the truth 2 films about reporters uncovering scandals #Spotlight &amp; #Truth: http://t.co/7oInXPn3sA http://t…
144,RT @ChazEbert: @indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/rPUnR4BE9r http:/…
145,@indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/FmdYNcUwbH http://t.co/fzgiHEOTOC
146,★★★★ Oscar hopeful #Spotlight refocuses recent events as a modern-day tragedy https://t.co/fWP5ZZGazA #Oscars https://t.co/31iMuXLAXt
147,"Pick of the Week on @theartsdesk: Monet, Caryl Churchill, #Spotlight and Circa https://t.co/KIZfavO1MV https://t.co/kmuv96qEtw"
148,"@CasparSalmon Spotlight's the better film, and The Big Short is the one that's winning the Best Picture Oscar."
149,"@shaldore @kristapley I think Mad Max is the best of the nominees, yes. But Spotlight would have been a fine winner."
150,"SCREENWRITER OF THE YEAR: Tom McCarthy and Josh Singer, ""Spotlight"" #LondonCritics"
151,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
152,"BEST DIRECTOR
McKay, The Big Short
Miller, Mad Max: Fury Road
Scott, The Martian
Inarritu, The Revenant
McCarthy, Spotlight"
153,"BEST ORIGINAL SCREENPLAY
Bridge of Spies
Ex Machina
Inside Out
Sicario
Spotlight"
154,"BEST FILM EDITING
The Big Short
Mad Max: Fury Road
The Martian
Sicario
Spotlight"
155,"BEST PICTURE (Drama)
Will win: Spotlight
Should win: Carol 
Should tie with Carol because oh my god why choose between them: 45 Years"
156,"BEST SCREENPLAY
Will win: The Big Short
Should win: Spotlight (but what a dull field)
Should *really* win: Ex Machina"
157,"@eggsbened Yes. Future dissertations will be written on ""What Happened Between 'The Cobbler' and 'Spotlight'""."
158,"@joereid @r0bwatson @kevinpokeeffe Yes, I keep thinking Spotlight is in a Departed kind of position."
159,@DanGreen1986 I guess. The exec committee probably had its hands full saving other things. Would've made a nice counterpoint to Spotlight.
160,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
161,"It's been a rough week for Michael Keaton. No SAG nomination, no Globe nomination, and now he can't even win the Spotlight Award."
162,‘Spotlight’ a true portrait of an investigation https://t.co/o6BtzrQ0dE via @sfchronicle  REVIEW PLUS VIDEO OF MOI.
