"user name","cleaned texts","screen name","tweeted time"
"Steve Carell","david bowies tv appearance bit ricky gervais extras","SteveCarell",(16-01-12 15:19:31)
"Mark Ruffalo","okay amazingly lovely space commander makes david bowie tribute international space station","MarkRuffalo",(16-01-12 09:10:11)
"Mark Ruffalo","paying tribute david bowie collection extra-ordinary 7Åç record sleeves httpsÅc","MarkRuffalo",(16-01-11 23:00:15)
"Mark Ruffalo","rip father freaks sad sad day love legendary singer david bowie dies 69 huffpostent","MarkRuffalo",(16-01-11 07:01:41)
"Idris Elba","rip david bowie","idriselba",(16-01-11 21:13:08)
"Liev Schreiber","heart broken david bowie rip","LievSchreiber",(16-01-11 11:10:50)
"Aziz Ansari","gotta rewatch david bowie extras","azizansari",(16-01-12 03:57:48)
"Aziz Ansari","sad bowie watched laugh david bowie secrets conan","azizansari",(16-01-12 03:56:53)
"Rob Lowe","shares favorite davidbowie song celebs pay tribute icon","RobLowe",(16-01-12 02:18:01)
